Title,Date,Content,Url
广德县代表团到材料学院开展产学研对接,2014-05-22, 5月15日，广德县代表团一行14人到我校材料学院开展产学研对接活动。校党委副书记、副校长朱大勇以及材料学院、化工学院、机汽学院相关负责同志和教师20余人参加了对接会。对接会上，广德县政协副主席江晓华介绍了广德县的产业现状。朱大勇介绍了我校有关全面加强和推进与宣城市的产学研合作的新政策与举措。双方都希望以此次对接会为契机，扎实推进双方产学研合作。 材料学院院长张久兴介绍了该院的专业基础和学科优势，该院党委书记程继贵介绍了该院的办学历史和科研特色，该院副院长蒋阳介绍了该院产业技术研究情况，对拟合作的项目与科研人员进行了重点推介。材料学院、化工学院、机汽学院的专家教授分别介绍了各自的研究成果和产学研合作方向。来访企业介绍了企业的技术难题和需求，专家和企业现场对接并进行了深入交流洽谈，并就具体合作方向和方式达成意向。 此次广德县前来进行对接的企业有安徽正隆新材料有限公司、安徽耀强精轮机械有限公司、安徽科蓝特铝业有限公司、安徽广德迪发机械有限公司、安徽省广德中鼎汽车工具有限公司、安徽宝德金属新材料有限公司、广德新迪机械有限公司等多家企业。,http://news.hfut.edu.cn/show-162-13044-1.html
我校组队参加湖州市第五届政产学研合作大会,2014-05-30, 近日，第五届中国湖州政产学研合作大会暨重大战略新型产业项目签约仪式在湖州举行，我校湖州技术转移中心组队参加了这次会议。 会上，我校机械与汽车工程学院副教授胡兆稳在会上作了我校现代装备制造科技成果推介。我校电气工程学院副研究员林勇与安吉盛信办公家具有限公司签订了“座椅自动化生产线系统集成技术”合作协议。,http://news.hfut.edu.cn/show-162-13043-1.html
医学学院与台湾中山大学签署学术交流合作协议,2014-05-30, 近日，医学工程学院与台湾中山大学科技医学研究中心签署了学术交流合作协议。 根据协议，双方就学院及中心内的研究项目，每年邀请对方1-3名教职员工短期访问，作学术报告或研讨合作；双方通过互联网交换访问学者信息，可共同邀请访问学者或一方的访问学者可顺道到另一方访问；共同通过设立整体研究计划、合办研讨会，并以远程视频等方式举行演讲及开设远距离课程；双方视需要可互派研究生进行短期交流并提供一定的条件支持。协议自2014年6月起生效，有效期为三年，如双方同意可再行续订。 医学工程学院自2011年成立以来，坚持“走出去，请进来”的原则，积极开展对外交流与合作，先后与安徽省立医院、皖南弋矶山医院、安徽省中医药管理局、丰原药业等企事业单位建立了良好的合作，聘请了多名国内外高层次专家学者来院兼职，并积极与境外高校与科研院所展开深入的学术合作交流。,http://news.hfut.edu.cn/show-162-13042-1.html
宜信财富与我校签署特色金融班奖学金协议,2014-07-16, 7月14日，合肥工业大学特色金融班奖学金签约仪式在翡翠湖校区建艺馆723举行，宜信财富安徽区总经理杜宁女士与我校经济学院院长朱卫东签署协议书。会后，双方就如何拓展校企合作平台、培养特色金融人才等进行了深入交流座谈。 宜信财富合肥工业大学特色金融班奖学金是面向特色金融班学员设立的，每年捐资1万元奖励6名优秀学员，其中一等奖3000元，1名；二等奖2000元，2名；三等奖1000元，3名。宜信财富与我校签署特色金融班奖学金协议,http://news.hfut.edu.cn/show-162-13041-1.html
合肥工业大学安吉工业设计中心揭牌仪式举行,2014-07-31, 7月22日下午，由合肥工业大学与浙江省湖州市安吉县人民政府合作共建的安吉工业设计中心揭牌仪式在安吉县科技创业园举行。 仪式上，安吉县副县长任贵明与我校科学技术研究院副院长崔鹏为中心揭牌。任贵明、崔鹏和我校建筑与艺术学院院长李早分别代表安吉县政府、合肥工业大学和安吉工业设计中心致辞。 依据协议，合肥工业大学与安吉县人民政府本着“优势互补，互惠互利，互相促进，共同发展”的原则，在安吉县共建工业设计中心。双方将通过有效整合双方资源，以安吉工业设计中心为运行中心，以合肥工业大学协同创新中心为设计研发和科技成果转化推广基地，两地协同运作，通过建设工业设计整合创新公共服务平台，为安吉县的椅业和竹产业等龙头行业，创造更好的设计与文化价值，为其他新兴产业提供更多的成长空间。中心将进一步加快合肥工业大学科技成果转移转化，为安吉县企业提供工业设计整合创新服务，解决企业共性关键技术问题。中心将具备“一站式”功能，为推进产品设计创新，提升安吉县产业的设计创新能力和科技竞争力服务。 安吉县科技局，我校建筑与艺术学院、教学办公室、湖州研究院相关负责同志参加了揭牌仪式。 仪式结束后，参加揭牌仪式的嘉宾和安吉县40多家企业的代表参观了安吉工业设计中心及我校科技创新成果展示。安吉县工业设计中心领导小组就“安吉县工业设计中心运作模式”等议题进行了研讨与审议。我校建筑与艺术学院工业设计系教授韩春明为企业代表作了题为《工业设计如何助力安吉企业发展》的讲座。,http://news.hfut.edu.cn/show-162-13040-1.html
我校与安徽华塑股份有限公司开展产学研对接,2014-08-11, 8月6日，应安徽华塑股份有限公司的邀请，科学技术研究院组织机械与汽车工程学院、材料科学与工程学院、化学与化工学院、资源与环境工程学院、化工机械研究所等单位专家赴该公司开展产学研对接活动。该公司董事长王圣茂介绍了公司发展进程和技术需求，对校企产学研合作表达了殷切的期望。我校科研院副院长崔鹏就校企产学研合作、实习基地建设、工程硕士培养等，提出了具体合作意见和建议。参会专家考察了企业生产现场，与公司技术人员就PVC树脂后续加工、渣浆泵改造、催化剂耐受性研究等方面的技术难题进行了交流，并达成了一批合作意向。 安徽华塑股份有限公司是安徽省“861”行动计划重点项目，建设总投资160亿元，一期投资75亿元，已建成年产46万吨聚氯乙烯、56万吨电石、32万吨离子膜烧碱、115万吨电石渣水泥、60万吨真空制盐等系统。全部工程建成后，公司将是全国最大的聚氯乙烯生产企业，具有年产100万吨聚氯乙烯、140万吨电石、76万吨烧碱、250万吨电石渣制水泥的生产能力。我校与安徽华塑股份有限公司开展产学研对接,http://news.hfut.edu.cn/show-162-13039-1.html
中科招商集团总经理刘继军一行来访,2014-11-13, 11月12日下午，中科招商投资集团股份有限公司总经理刘继军一行来访，校长徐枞巍、副校长刘志峰在学术会议中心第二会议室会见了来宾并开展交流。 徐枞巍代表学校对客人的来访表示欢迎，并介绍了我校的人才培养特色、科学技术转化、大学生就业创业等相关工作情况。 刘继军对我校的热情接待表示感谢。他介绍了此行来访目的，并就中科招商集团的相关情况及集团在大学“三基工程”建设方面的所作的相关工作作了详细介绍。 座谈会上，科学技术研究院、教务部、智能制造技术研究院、校团委等相关负责同志就相关工作开展情况与客人进行了深入交流，初步达成了合作意向。 据介绍，中科招商是大型人民币创业投资基金专业管理机构，目前管理着600亿创投基金，是我国投资市场、融资市场和产业市场三大领域新的领航者。该集团为促进大学内涵式发展，协助大学搭建适合创新创业教育的生态系统环境，中科招商投资管理集团股份有限公司特别设立100亿天使投资基金用于推动“大学三基工程”，即与大学合作“共设创业教育投资基金、共建创业人才培养基地、共兴大学创新发展基业”，并且预计未来5-10年的投资规模将达到1000-3000亿元。该工程主要面向211工程大学，投资标的倾向高科技或新模式的创业项目。目前，中科招商已与天津大学、哈工大签订合作协议。与此同时，中科招商集团旗下的中科创大启动了“千导计划(创业导师计划)”，邀请具有创业成功经验以及其他成功人士加盟，组成创业导师集群等。 中科招商集团总经理刘继军一行来访,http://news.hfut.edu.cn/show-162-13526-1.html
校长徐枞巍一行考察淮北市部分企业,2014-11-17, 11月15日，校长徐枞巍一行考察淮北市部分企业。 在淮北市科技局相关领导陪同下，徐枞巍一行先后考察了安徽宝迪肉类食品有限公司、安徽鑫乐源食品有限公司、淮北宇鑫新材料有限公司、安徽凯强力工程机械有限公司。 在考察企业，企业负责人详细介绍了企业的经营发展状况以及与合肥工业大学的产学研合作情况。徐枞巍感谢企业对合肥工业大学的信任与支持，详细询问了企业经营发展中遇到的技术问题，并对校企双方进一步深化产学研合作分别提出了具体的建议。 考察期间，徐枞巍一行与淮北市副市长张家忠、淮北矿业集团有关领导进行了座谈。 校长助理景和平，科研院、生物与食品工程学院、农产品加工研究院相关同志陪同考察。校长徐枞巍一行考察淮北市部分企业,http://news.hfut.edu.cn/show-162-13577-1.html
陕西理工学院校长何宁一行来校,2014-11-19, 11月17日，陕西理工学院校长何宁一行来我校学习交流。校长徐枞巍、副校长刘志峰在学术会议中心第一会议室与何宁一行进行了座谈。 座谈中，徐枞巍代表学校欢迎何宁一行来校学习交流，并介绍了学校的历史沿革、办学定位、办学特色，他希望两校加强交流，相互学习。刘志峰介绍了机械与汽车工程学院的有关情况。 何宁表示，通过此次学习交流，他对合肥工业大学坚持把“论文写在产品上、研究做在工程中、成果转化在企业里”，不断深化产学研合作的举措感触颇深。他认为合肥工大在很多方面的做法值得学习借鉴。他希望双方加强合作与交流，共谋发展。 机械与汽车工程学院相关人员参加了座谈。 座谈会后，何宁一行参观了我校机械与汽车工程学院实验室、翡翠湖校区、工业培训中心。,http://news.hfut.edu.cn/show-162-13605-1.html
中国工程院院士、中国电力科学研究院院长郭剑波一行来校,2014-11-20, 11月17日上午，十八届中央候补委员、中国工程院院士、中国电力科学研究院院长郭剑波一行来我校指导工作。 校长徐枞巍教授会见了郭剑波一行，双方就进一步的深入合作进行了交流。 在光伏光热研究院院长丁明的陪同下，郭剑波一行参观了光伏光热研究院展厅、风力发电实验室、光伏发电实验室、分布式发电与微网实验室、储能实验室、电能质量实验室，并与光伏光热研究院相关学术团队和骨干进行了座谈。 座谈会上，丁明介绍了光伏光热研究院科研团队近年的重点科研方向和成果转化情况、与国家电网公司和中国电科院科研合作情况。 郭剑波认为合肥工大在新能源发电装备与技术、电力系统安全与可靠性的研发和应用方面很有特色，希望今后双方能有更多的合作与交流。,http://news.hfut.edu.cn/show-162-13647-1.html
